ind_tr,ind_pt,ind_ru,ind_fr,ind_it,ind_es
6297,15722,13043,2635,16033,1956
1130,12643,20798,19803,16379,12393
18389,15042,19210,806,3037,14714
3270,2773,12814,17214,4199,21972
13543,4830,2052,10831,13938,19026
18077,14301,13568,22332,3394,16697
3694,1475,98,16713,19633,8053
14155,17750,21144,18997,9774,15458
22169,14540,5426,3071,21594,10001
8844,12036,3946,5266,12279,5784
9618,19477,10892,11522,5888,7265
14704,19059,18815,20021,3873,21655
16920,15757,11108,4942,17579,13122
2613,20845,19215,1243,16907,15100
359,18247,17309,13257,18604,7708
22048,9717,14206,6751,6741,10527
10713,21206,18015,16033,7367,1793
16437,18665,4664,20192,1406,16456
19988,12023,19526,1090,17975,2299
20479,5462,19317,13571,8627,7438
11567,16695,7984,20918,2978,4460
9503,12100,3005,11690,15697,5465
5555,6421,16313,8355,16599,2433
4294,18333,8723,7098,6562,1417
2168,1977,6347,12500,6337,1816
15822,12600,12492,12969,18310,2505
15909,6408,19079,20763,11838,17845
5696,9398,17936,354,18455,6548
6409,620,5460,15697,7145,22290
3093,10959,6149,5577,2732,838
17818,2260,10003,12894,7331,10287
8248,17501,19046,9791,2274,7628
7623,4356,17565,22298,3002,17691
7022,1038,4594,645,18266,5068
6644,1109,6088,4915,11580,8350
16116,13209,14484,8254,22113,3775
1828,10007,7436,13936,17233,10823
9582,20485,3647,20277,5151,3434
19278,1512,13847,14155,1537,11204
15718,19931,6227,12146,5302,2080
16362,18254,251,19381,8636,9890
6099,15799,12308,20990,17978,2671
8171,12962,6856,1525,12015,7046
5651,673,14663,20810,971,19409
8480,18867,1947,4660,19480,10528
1253,18866,17713,4262,13688,2424
19105,6720,4523,16367,4069,3404
22198,20776,12106,18603,19563,21334
12744,20089,20865,6234,4776,9582
10706,5773,11980,19728,2739,7539
5495,17791,3492,12446,10439,11692
8399,3115,15321,2389,16138,2175
7054,19613,19387,10352,19310,11047
21705,1126,16605,786,11622,14580
18664,8394,6020,15369,15497,8877
20683,15207,18568,2007,9105,11857
2848,8297,1698,463,8652,10143
18115,2285,16350,12903,15528,21072
22349,9604,14129,10575,7411,9201
6231,10338,477,4231,21397,6494
5572,17622,21842,21607,5171,12132
20292,14900,7037,10361,13641,18055
7642,9418,16267,13683,13684,18177
14105,19159,22275,17381,3800,21307
78,4216,10749,22123,17036,18244
3867,20282,16093,437,19876,7489
5458,19288,791,16487,8745,16915
6840,14157,5430,2163,6008,16862
8737,16444,7379,11078,6319,3873
21861,3845,20269,12756,3865,13679
9795,16964,20606,14534,2435,14194
2232,3051,255,6897,6295,4070
1184,21260,17517,10315,12222,8951
4883,14497,10639,20643,13392,9235
7564,13705,3022,8790,9756,21331
19655,13897,1732,11211,1933,3464
11820,1439,4980,21031,6080,19699
11528,2364,18364,833,13788,3573
12899,18334,21049,6543,3980,20679
21076,4811,16729,16729,11035,12031
6891,9586,4983,6328,21355,13098
3158,5664,20817,5530,13064,1210
18263,11648,14583,20798,19280,8514
7136,9959,20051,13846,10802,6256
11375,6807,5483,14197,16741,10458
5834,5839,994,6393,15521,8896
7119,121,216,18299,9217,5500
18161,493,5766,16315,18363,16518
3536,21743,1262,4723,1731,1737
18238,4865,21153,2735,1454,1452
2932,9094,7695,7388,15966,18990
2088,19887,17872,20363,3427,18963
13671,16662,12315,11528,19670,15947
3312,12449,15058,6780,20910,4451
17660,14898,4264,3317,2583,5057
16202,865,691,3773,13054,17361
14849,3409,14048,3233,20225,19465
